Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Exchange
FORK,Fuling Global Inc.,3.35,$52.78M,2015,Consumer Non-Durables,Plastic Products,NASDAQ
FLL,"Full House Resorts, Inc.",2.25,$51.45M,n/a,Consumer Services,Hotels/Resorts,NASDAQ
FMAX,Full Spectrum Inc.,n/a,n/a,n/a,n/a,n/a,NASDAQ
FULT,Fulton Financial Corporation,17.95,$3.14B,n/a,Finance,Major Banks,NASDAQ
FNCX,Function(x) Inc.,0.5206,$15.56M,n/a,Technology,"Computer Software: Programming, Data Processing",NASDAQ
FSNN,"Fusion Telecommunications International, Inc.",1.42,$31.83M,n/a,Technology,Computer Software: Prepackaged Software,NASDAQ
FFHL,"Fuwei Films (Holdings) Co., Ltd.",2.81,$9.18M,2006,Capital Goods,Specialty Chemicals,NASDAQ
WILC,"G. Willi-Food International,  Ltd.",6.8,$90.04M,n/a,Consumer Non-Durables,Food Distributors,NASDAQ
GTHX,"G1 Therapeutics, Inc.",19.01,$669.06M,2017,Health Care,Major Pharmaceuticals,NASDAQ
FOANC,Gabelli NextShares Trust,100.1,n/a,n/a,n/a,n/a,NASDAQ
MOGLC,Gabelli NextShares Trust,100.1,n/a,n/a,n/a,n/a,NASDAQ
GAIA,"Gaia, Inc.",10.8,$163.65M,1999,Consumer Services,Movies/Entertainment,NASDAQ
GLPG,Galapagos NV,83.03,$4.22B,2015,Health Care,Major Pharmaceuticals,NASDAQ
GALT,Galectin Therapeutics Inc.,2.3,$79.74M,n/a,Health Care,Major Pharmaceuticals,NASDAQ
GALE,"Galena Biopharma, Inc.",0.6051,$22.65M,n/a,Health Care,Major Pharmaceuticals,NASDAQ
GLMD,Galmed Pharmaceuticals Ltd.,5.04,$61.33M,2014,Health Care,Major Pharmaceuticals,NASDAQ
GLPI,"Gaming and Leisure Properties, Inc.",37.1,$7.72B,n/a,Consumer Services,Real Estate Investment Trusts,NASDAQ
GPIC,Gaming Partners International Corporation,10,$79.29M,n/a,Consumer Non-Durables,Recreational Products/Toys,NASDAQ
GRMN,Garmin Ltd.,53.61,$10.09B,2000,Capital Goods,Industrial Machinery/Components,NASDAQ
GARS,Garrison Capital Inc.,8.88,$142.52M,2013,n/a,n/a,NASDAQ
GDS,GDS Holdings Limited,7.3,$693.51M,2016,Technology,"Computer Software: Programming, Data Processing",NASDAQ
GEMP,Gemphire Therapeutics Inc.,10.59,$112.25M,2016,Health Care,Major Pharmaceuticals,NASDAQ
GENC,Gencor Industries Inc.,16.1,$231.75M,n/a,Capital Goods,Construction/Ag Equipment/Trucks,NASDAQ
GNCMA,"General Communication, Inc.",37.54,$1.35B,n/a,Public Utilities,Telecommunications Equipment,NASDAQ
GFN,General Finance Corporation,5.1,$133.72M,n/a,Technology,Diversified Commercial Services,NASDAQ
GFNCP,General Finance Corporation,94.256,n/a,n/a,Technology,Diversified Commercial Services,NASDAQ
GFNSL,General Finance Corporation,25.75,n/a,n/a,Technology,Diversified Commercial Services,NASDAQ
GENE,Genetic Technologies Ltd,1.08,$17.53M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
GNUS,"Genius Brands International, Inc.",4.08,$24.06M,n/a,Consumer Services,Movies/Entertainment,NASDAQ
GNMK,"GenMark Diagnostics, Inc.",12.68,$597.06M,2010,Health Care,Medical/Dental Instruments,NASDAQ
GNCA,"Genocea Biosciences, Inc.",6.2,$176.73M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
GHDX,"Genomic Health, Inc.",32.37,$1.11B,2005,Health Care,Medical Specialities,NASDAQ
GNST,GenSight Biologics S.A.,n/a,n/a,n/a,n/a,n/a,NASDAQ
GNTX,Gentex Corporation,18.905,$5.43B,n/a,Capital Goods,Auto Parts:O.E.M.,NASDAQ
THRM,Gentherm Inc,38.7,$1.42B,n/a,Capital Goods,Auto Parts:O.E.M.,NASDAQ
GNVC,"GenVec, Inc.",6.6,$15.01M,2000,Health Care,Major Pharmaceuticals,NASDAQ
GEOS,Geospace Technologies Corporation,15.68,$210.75M,n/a,Capital Goods,Industrial Machinery/Components,NASDAQ
GABC,"German American Bancorp, Inc.",31.67,$726.17M,n/a,Finance,Major Banks,NASDAQ
GERN,Geron Corporation,2.72,$432.96M,1996,Health Care,Major Pharmaceuticals,NASDAQ
GEVO,"Gevo, Inc.",0.6339,$9.56M,2011,Basic Industries,Major Chemicals,NASDAQ
